-1.25 (0.28554978913996365) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'lbfgs'}
-7.79 (0.5337234499745478) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'adam'}
-19.69 (9.244677936947305) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'sgd'}
-1.56 (0.4262853091492456) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'lbfgs'}
-7.69 (1.433097508555524) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-24.31 (7.630128105976647) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
-1.76 (0.2688089090892187) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}
-6.9 (1.062598011144763) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'adam'}
-18.71 (1.5685673458451035) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'sgd'}
-1.61 (0.366616652337325) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'lbfgs'}
-6.42 (0.9966085732563631) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'adam'}
-19.03 (4.158028260693745) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'sgd'}
-1.67 (0.29002332001498643) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'lbfgs'}
-6.4 (0.6174897299058971) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}
-19.03 (5.825279030974578) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}
-1.29 (0.34721362159208324) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}
-6.69 (0.8597853784883835) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'adam'}
-20.2 (5.26580060364226) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'sgd'}
-1.74 (0.3288733042872312) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'lbfgs'}
